PATTERN_LEN,SEQ_LEN,KMP_TIME,BM_TIME
10000,50000,0.000000,0.111000
10000,100000,0.001000,0.115000
10000,150000,0.003000,2.785000
10000,200000,0.002000,0.109000
10000,250000,0.001000,0.110000
10000,300000,0.002000,0.108000
10000,350000,0.003000,0.109000
10000,400000,0.003000,0.115000
10000,450000,0.007000,8.542000
10000,500000,0.004000,0.110000
10000,550000,0.004000,0.107000
10000,600000,0.004000,0.112000
10000,650000,0.012000,12.251000
10000,700000,0.005000,0.113000
10000,750000,0.005000,0.115000
10000,800000,0.005000,0.109000
10000,850000,0.005000,0.114000
10000,900000,0.007000,0.113000
10000,950000,0.007000,0.111000
